time,direction,speed,ti,veer,shear
2017-08-04 00:00:00,240.82031,17.75391,0.10864,-0.19336,0
2017-08-04 00:10:00,243.63281,16.64063,0.11841,-0.1582,-0.01465
2017-08-04 00:20:00,245.03906,15.87891,0.08545,0.1582,-0.01172
2017-08-04 00:30:00,244.33594,15.76172,0.10864,-0.03516,0.00879
2017-08-04 00:40:00,247.85156,16.69922,0.11719,0,-0.01465
2017-08-04 00:50:00,250.3125,15.64453,0.13062,0.12305,-0.02051
2017-08-04 01:00:00,247.5,15.9375,0.12207,-0.03516,-0.00293
2017-08-04 01:10:00,245.03906,15.46875,0.12451,0.01758,0.00586
2017-08-04 01:20:00,245.39063,15.9375,0.12207,-0.10547,0.01758
2017-08-04 01:30:00,246.79688,16.28906,0.09521,-0.10547,0.00879
2017-08-04 01:40:00,246.44531,16.23047,0.11353,0.10547,-0.01758
2017-08-04 01:50:00,245.39063,15.99609,0.11231,0.03516,-0.01465
2017-08-04 02:00:00,239.76563,16.75781,0.10864,0.22852,0.03516
2017-08-04 02:10:00,238.71094,16.23047,0.11231,0.17578,0.01758
2017-08-04 02:20:00,245.39063,16.75781,0.10864,0,0.01172
2017-08-04 02:30:00,242.57813,15.87891,0.12207,0.03516,0.00293
2017-08-04 02:40:00,244.6875,15.35156,0.13184,-0.01758,0
2017-08-04 02:50:00,242.22656,15.76172,0.11841,0.17578,0
2017-08-04 03:00:00,243.28125,15.87891,0.09644,-0.1582,0.00293
2017-08-04 03:10:00,239.0625,15.70313,0.10864,0.03516,0.02051
2017-08-04 03:20:00,244.6875,15.35156,0.10498,0.14062,-0.01758
2017-08-04 03:30:00,242.22656,15.82031,0.13062,0.10547,0.03516
2017-08-04 03:40:00,246.79688,15.9375,0.11597,-0.03516,-0.01172
2017-08-04 03:50:00,243.98438,15.70313,0.11231,0.03516,0
2017-08-04 04:00:00,242.92969,15.35156,0.1416,0.14062,0
2017-08-04 04:10:00,245.74219,15.70313,0.12085,-0.03516,-0.00879
2017-08-04 04:20:00,243.63281,15.23438,0.11841,0.05273,0.02051
2017-08-04 04:30:00,244.33594,15.23438,0.11963,0.10547,0.00586
2017-08-04 04:40:00,239.41406,15.11719,0.15381,0.24609,0.00586
2017-08-04 04:50:00,242.92969,15.29297,0.1355,-0.03516,0.02344
2017-08-04 05:00:00,239.76563,16.11328,0.13184,0,0.00293
2017-08-04 05:10:00,238.35938,16.28906,0.13672,0.14062,0.01465
2017-08-04 05:20:00,241.875,15.64453,0.12207,0.07031,-0.00586
2017-08-04 05:30:00,242.22656,16.17188,0.14771,-0.22852,-0.00586
2017-08-04 05:40:00,243.98438,15.82031,0.12329,-0.17578,0.01172
2017-08-04 05:50:00,239.0625,15.70313,0.14526,0.21094,0.02051
2017-08-04 06:00:00,245.74219,15.23438,0.14404,0.01758,0.02344
2017-08-04 06:10:00,249.60938,14.64844,0.1831,0.03516,-0.01172
2017-08-04 06:20:00,251.01563,14.58984,0.09888,-0.01758,-0.03516
2017-08-04 06:30:00,248.90625,15.70313,0.13916,-0.08789,0
2017-08-04 06:40:00,252.42188,14.70703,0.14893,-0.03516,0
2017-08-04 06:50:00,259.45313,13.53516,0.13794,-0.28125,-0.01465
2017-08-04 07:00:00,254.88281,14.41406,0.12817,-0.05273,-0.02051
2017-08-04 07:10:00,259.10156,15.17578,0.09033,-0.07031,-0.01465
2017-08-04 07:20:00,252.42188,15.64453,0.12451,0.14062,0
2017-08-04 07:30:00,258.04688,15.23438,0.10254,-0.28125,0.01758
2017-08-04 07:40:00,255.9375,15.23438,0.09277,-0.1582,0.00293
2017-08-04 07:50:00,251.71875,15.29297,0.13916,0.07031,0.02051
2017-08-04 08:00:00,249.25781,14.64844,0.1294,-0.08789,0.01758
2017-08-04 08:10:00,249.25781,15.17578,0.12329,0,0.00586
2017-08-04 08:20:00,250.3125,14.41406,0.13428,0.08789,-0.01172
2017-08-04 08:30:00,255.58594,13.30078,0.15747,-0.17578,0.01172
2017-08-04 08:40:00,253.47656,13.30078,0.11719,-0.01758,0.01465
2017-08-04 08:50:00,254.17969,14.41406,0.10254,-0.10547,0.03516
2017-08-04 09:00:00,256.28906,13.65234,0.10132,-0.29883,-0.01758
2017-08-04 09:10:00,251.36719,14.35547,0.12329,0.19336,0.00586
2017-08-04 09:20:00,252.77344,13.35938,0.15137,-0.03516,0.01172
2017-08-04 09:30:00,253.125,13.88672,0.1294,0.07031,-0.00293
2017-08-04 09:40:00,256.28906,13.82813,0.12451,-0.12305,0.00879
2017-08-04 09:50:00,247.85156,14.35547,0.11353,0.21094,0.00586
2017-08-04 10:00:00,251.36719,14.12109,0.11963,0.05273,0.01758
2017-08-04 10:10:00,248.55469,13.76953,0.13916,0.22852,0
2017-08-04 10:20:00,251.36719,13.94531,0.16357,0.05273,-0.01465
2017-08-04 10:30:00,250.3125,13.65234,0.10132,-0.19336,0.03223
2017-08-04 10:40:00,245.03906,13.88672,0.14282,-0.03516,0.02051
2017-08-04 10:50:00,246.44531,13.65234,0.13306,-0.01758,-0.00586
2017-08-04 11:00:00,246.79688,14.29688,0.13306,-0.14062,-0.00586
2017-08-04 11:10:00,250.3125,14.76563,0.10254,-0.05273,0.01758
2017-08-04 11:20:00,246.44531,14.35547,0.11475,-0.24609,0.0293
2017-08-04 11:30:00,242.22656,13.82813,0.12207,0.19336,0.01465
2017-08-04 11:40:00,241.875,14.23828,0.11475,0.1582,0.00879
2017-08-04 11:50:00,241.17188,14.12109,0.12207,0.35156,-0.00879
2017-08-04 12:00:00,241.17188,14.17969,0.12573,0.08789,0.00586
2017-08-04 12:10:00,239.0625,13.82813,0.12085,0.36914,-0.01465
2017-08-04 12:20:00,238.00781,14.47266,0.12329,0.28125,-0.00586
2017-08-04 12:30:00,240.82031,14.53125,0.12573,-0.03516,-0.00586
2017-08-04 12:40:00,242.22656,14.47266,0.11963,-0.12305,-0.01465
2017-08-04 12:50:00,234.49219,15,0.12085,0.42188,0.02051
2017-08-04 13:00:00,239.76563,14.58984,0.12085,0.08789,0.01758
2017-08-04 13:10:00,242.57813,14.12109,0.08667,0.1582,-0.00879
2017-08-04 13:20:00,240.11719,14.64844,0.1294,0.26367,0.03223
2017-08-04 13:30:00,237.65625,15.29297,0.12085,0.01758,0.01758
2017-08-04 13:40:00,238.00781,14.41406,0.11963,0.10547,-0.00879
2017-08-04 13:50:00,236.60156,14.17969,0.12695,0.03516,-0.01758
2017-08-04 14:00:00,238.35938,13.53516,0.10254,0.07031,-0.01465
2017-08-04 14:10:00,240.82031,13.59375,0.09399,-0.10547,-0.01172
2017-08-04 14:20:00,235.19531,14.94141,0.10986,0.01758,0.02051
2017-08-04 14:30:00,234.14063,14.12109,0.12329,0.08789,-0.00293
2017-08-04 14:40:00,238.71094,14.23828,0.13672,0.07031,0
2017-08-04 14:50:00,235.54688,12.65625,0.13916,0.10547,-0.03809
2017-08-04 15:00:00,232.03125,14.35547,0.13916,0.10547,0.05566
2017-08-04 15:10:00,235.89844,14.0625,0.11108,-0.1582,0.00586
2017-08-04 15:20:00,231.67969,13.94531,0.10864,0.07031,-0.00586
2017-08-04 15:30:00,233.4375,14.58984,0.11841,0.07031,0.01465
2017-08-04 15:40:00,230.27344,14.82422,0.13184,-0.03516,0.0293
2017-08-04 15:50:00,229.92188,14.17969,0.12695,-0.01758,0.00293
2017-08-04 16:00:00,233.08594,14.35547,0.12695,0.10547,0.00293
2017-08-04 16:10:00,235.89844,14.58984,0.14526,-0.08789,0.00293
2017-08-04 16:20:00,232.73438,14.0625,0.13794,0.05273,0.01172
2017-08-04 16:30:00,235.54688,14.23828,0.12329,0.31641,0.00586
2017-08-04 16:40:00,233.08594,13.94531,0.14038,0.33398,0.00879
2017-08-04 16:50:00,235.54688,13.06641,0.13794,0.24609,-0.00293
2017-08-04 17:00:00,235.19531,12.94922,0.11475,0.03516,0.01172
2017-08-04 17:10:00,241.52344,12.71484,0.13428,-0.29883,-0.00586
2017-08-04 17:20:00,233.4375,12.53906,0.15137,0.03516,0.00879
2017-08-04 17:30:00,235.89844,13.18359,0.14404,-0.07031,0.00293
2017-08-04 17:40:00,240.46875,12.71484,0.1416,-0.14062,-0.00293
2017-08-04 17:50:00,239.41406,12.42188,0.1416,-0.05273,0.00293
2017-08-04 18:00:00,236.25,11.95313,0.1062,0.03516,0.01172
2017-08-04 18:10:00,236.25,11.36719,0.09521,0.05273,0.01172
2017-08-04 18:20:00,238.00781,11.77734,0.12207,-0.1582,0.00293
2017-08-04 18:30:00,233.78906,10.89844,0.13428,-0.10547,0
2017-08-04 18:40:00,237.65625,11.19141,0.09521,-0.05273,0.01465
2017-08-04 18:50:00,241.875,10.78125,0.11719,-0.05273,0.01172
2017-08-04 19:00:00,250.66406,11.19141,0.14893,-0.21094,-0.00586
2017-08-04 19:10:00,247.85156,9.78516,0.10864,0.01758,0.01172
2017-08-04 19:20:00,244.33594,9.78516,0.12085,0.05273,0.01172
2017-08-04 19:30:00,248.90625,8.67188,0.1062,0.01758,0.00879
2017-08-04 19:40:00,253.47656,8.73047,0.14038,-0.05273,0.00586
2017-08-04 19:50:00,262.61719,8.55469,0.15015,-0.08789,0.00293
2017-08-04 20:00:00,260.15625,8.02734,0.11841,0.19336,0.00879
2017-08-04 20:10:00,268.59375,7.61719,0.12329,0.03516,-0.00879
2017-08-04 20:20:00,267.53906,8.14453,0.12695,0,0.01172
2017-08-04 20:30:00,266.13281,7.91016,0.13672,-0.05273,0.00586
2017-08-04 20:40:00,268.24219,7.20703,0.13672,-0.08789,0.01172
2017-08-04 20:50:00,273.86719,6.44531,0.13672,-0.01758,0.01172
2017-08-04 21:00:00,271.75781,5.85938,0.15747,0.33398,0.0293
2017-08-04 21:10:00,280.89844,5.15625,0.19287,0.10547,0.00586
2017-08-04 21:20:00,279.84375,5.56641,0.177,-0.07031,0.01758
2017-08-04 21:30:00,289.6875,5.80078,0.20508,-0.12305,0.02051
2017-08-04 21:40:00,299.17969,5.15625,0.19898,0.33398,0.00586
2017-08-04 21:50:00,336.44531,7.5,0.5127,-0.87891,0.02637
2017-08-04 22:00:00,312.53906,6.21094,0.24902,0.33398,0.01758
2017-08-04 22:10:00,298.47656,5.80078,0.26245,0.33398,0.02051
2017-08-04 22:20:00,299.53125,4.33594,0.13916,0.29883,0.00879
2017-08-04 22:30:00,285.82031,4.86328,0.18433,-0.36914,-0.01465
2017-08-04 22:40:00,286.17188,5.39063,0.16357,0.08789,0.01172
2017-08-04 22:50:00,299.17969,4.27734,0.22583,-0.10547,0.00586
2017-08-04 23:00:00,301.28906,6.32813,0.15015,0.12305,0.00879
2017-08-04 23:10:00,299.53125,6.5625,0.11841,0.24609,0.00293
2017-08-04 23:20:00,283.71094,7.26563,0.12329,-0.08789,0.01172
2017-08-04 23:30:00,284.0625,6.03516,0.21362,-0.1582,0.02344
2017-08-04 23:40:00,267.53906,4.39453,0.18066,-0.42188,0.00293
2017-08-04 23:50:00,289.33594,4.74609,0.16724,-0.1582,-0.00879
2017-08-05 00:00:00,299.53125,5.09766,0.16357,-0.12305,-0.00879
2017-08-05 00:10:00,292.14844,4.51172,0.10254,-0.21094,0.00879
2017-08-05 00:20:00,287.22656,3.98438,0.12451,-0.07031,0.01465
2017-08-05 00:30:00,291.09375,4.10156,0.19775,0.12305,0.00293
2017-08-05 00:40:00,294.96094,4.45313,0.1709,-0.1582,0.01465
2017-08-05 00:50:00,290.74219,3.86719,0.22339,-0.31641,0
2017-08-05 01:00:00,281.95313,3.63281,0.16235,0.01758,0
2017-08-05 01:10:00,287.92969,3.75,0.17822,0.14062,0
2017-08-05 01:20:00,307.26563,4.16016,0.15259,-0.08789,-0.00879
2017-08-05 01:30:00,301.28906,4.33594,0.1416,0.24609,0.01465
2017-08-05 01:40:00,311.48438,4.86328,0.13916,-0.07031,-0.00293
2017-08-05 01:50:00,305.15625,4.74609,0.1416,-0.08789,0.00879
2017-08-05 02:00:00,301.28906,4.57031,0.14648,0.07031,0
2017-08-05 02:10:00,301.28906,4.86328,0.15381,-0.19336,0.01758
2017-08-05 02:20:00,298.82813,5.27344,0.10376,0.22852,0.00586
2017-08-05 02:30:00,312.89063,5.15625,0.14648,-0.26367,0.00586
2017-08-05 02:40:00,309.02344,5.21484,0.19775,-0.05273,-0.00879
2017-08-05 02:50:00,308.32031,5.91797,0.10864,0.14062,0
2017-08-05 03:00:00,314.64844,5.09766,0.17944,-0.07031,-0.00293
2017-08-05 03:10:00,308.32031,4.98047,0.14893,-0.07031,0
2017-08-05 03:20:00,315.35156,4.74609,0.14893,0.01758,0.00879
2017-08-05 03:30:00,306.5625,3.80859,0.17334,-0.21094,-0.00586
2017-08-05 03:40:00,309.375,3.80859,0.23804,0.22852,-0.00293
2017-08-05 03:50:00,311.13281,4.51172,0.12451,0.1582,-0.00879
2017-08-05 04:00:00,320.97656,4.04297,0.15991,-0.08789,-0.00586
2017-08-05 04:10:00,317.10938,4.10156,0.16846,-0.36914,0
2017-08-05 04:20:00,312.1875,4.86328,0.13794,0.07031,-0.00586
2017-08-05 04:30:00,315.35156,4.39453,0.14404,0.07031,0
2017-08-05 04:40:00,319.57031,4.39453,0.15259,-0.03516,-0.00293
2017-08-05 04:50:00,316.05469,4.16016,0.21728,-0.07031,0.00586
2017-08-05 05:00:00,333.63281,4.57031,0.16357,-0.19336,0.00293
2017-08-05 05:10:00,319.92188,4.39453,0.13672,0.12305,-0.01172
2017-08-05 05:20:00,316.40625,4.45313,0.14404,-0.07031,-0.00879
2017-08-05 05:30:00,316.75781,3.75,0.15503,0,-0.01465
2017-08-05 05:40:00,304.10156,3.98438,0.20142,-0.12305,0.00879
2017-08-05 05:50:00,303.39844,3.57422,0.2002,-0.22852,-0.00586
2017-08-05 06:00:00,302.34375,4.16016,0.15137,0.21094,0
2017-08-05 06:10:00,307.26563,4.45313,0.12817,-0.01758,0
2017-08-05 06:20:00,305.50781,4.57031,0.11231,0,-0.00293
2017-08-05 06:30:00,303.39844,4.39453,0.14648,0.05273,0.00293
2017-08-05 06:40:00,304.45313,5.03906,0.14893,0.10547,-0.01172
2017-08-05 06:50:00,296.71875,5.44922,0.11353,0.01758,-0.00586
2017-08-05 07:00:00,300.58594,5.625,0.14771,0,-0.00586
2017-08-05 07:10:00,298.82813,6.44531,0.13672,0.03516,0.01172
2017-08-05 07:20:00,295.66406,6.03516,0.18799,-0.17578,0
2017-08-05 07:30:00,291.09375,4.86328,0.14893,-0.14062,0
2017-08-05 07:40:00,287.22656,4.98047,0.16113,-0.10547,0.00879
2017-08-05 07:50:00,278.4375,4.51172,0.16479,-0.03516,0.01465
2017-08-05 08:00:00,283.00781,4.51172,0.20386,-0.1582,0.00293
2017-08-05 08:10:00,290.03906,5.09766,0.14404,0.1582,0
2017-08-05 08:20:00,278.78906,5.91797,0.15869,0.14062,0.00293
2017-08-05 08:30:00,281.95313,5.625,0.11108,-0.01758,-0.00879
2017-08-05 08:40:00,284.0625,6.09375,0.15625,-0.21094,0
2017-08-05 08:50:00,289.6875,6.15234,0.14038,-0.14062,-0.00293
2017-08-05 09:00:00,304.80469,6.09375,0.11597,0.03516,0
2017-08-05 09:10:00,299.53125,6.26953,0.12329,0.10547,0.00586
2017-08-05 09:20:00,294.96094,6.73828,0.09155,0.10547,-0.00879
2017-08-05 09:30:00,294.25781,6.91406,0.09399,0.14062,0.01172
2017-08-05 09:40:00,291.79688,7.03125,0.11963,0.21094,0.01758
2017-08-05 09:50:00,299.88281,7.73438,0.13428,-0.24609,0
2017-08-05 10:00:00,296.36719,7.44141,0.13794,-0.07031,0.00586
2017-08-05 10:10:00,294.25781,8.08594,0.15381,0.03516,0.00293
2017-08-05 10:20:00,300.23438,7.26563,0.17578,-0.03516,0
2017-08-05 10:30:00,295.3125,7.79297,0.11231,0.07031,0.02344
2017-08-05 10:40:00,294.25781,7.5,0.1416,-0.07031,0.00293
2017-08-05 10:50:00,294.60938,7.67578,0.10742,-0.22852,-0.02051
2017-08-05 11:00:00,291.09375,7.91016,0.11353,0,0.00586
2017-08-05 11:10:00,292.85156,8.26172,0.14771,0.08789,-0.00293
2017-08-05 11:20:00,299.17969,8.4375,0.11841,-0.10547,0.00879
2017-08-05 11:30:00,297.77344,8.32031,0.16235,0.12305,-0.01758
2017-08-05 11:40:00,298.82813,8.73047,0.14038,-0.05273,0.01465
2017-08-05 11:50:00,298.125,8.73047,0.12451,-0.1582,0.02344
2017-08-05 12:00:00,296.36719,8.61328,0.16113,0,0.00293
2017-08-05 12:10:00,292.5,8.4375,0.12817,-0.07031,-0.01758
2017-08-05 12:20:00,291.44531,8.08594,0.15259,-0.10547,-0.01465
2017-08-05 12:30:00,289.33594,8.08594,0.10498,-0.17578,-0.01172
2017-08-05 12:40:00,289.6875,7.79297,0.11231,-0.05273,0.01172
2017-08-05 12:50:00,286.52344,7.61719,0.15869,0,0.00586
2017-08-05 13:00:00,285.82031,7.79297,0.13428,0,0
2017-08-05 13:10:00,287.92969,8.14453,0.14526,-0.01758,0.00586
2017-08-05 13:20:00,290.39063,8.20313,0.14282,0,0
2017-08-05 13:30:00,286.52344,8.61328,0.15503,-0.14062,-0.00879
2017-08-05 13:40:00,284.76563,8.55469,0.10986,0.08789,0
2017-08-05 13:50:00,279.49219,8.61328,0.13184,0.07031,-0.01465
2017-08-05 14:00:00,280.54688,8.78906,0.1294,0.21094,-0.01172
2017-08-05 14:10:00,280.54688,9.02344,0.15625,-0.19336,0.00586
2017-08-05 14:20:00,279.84375,8.61328,0.1416,-0.01758,0.00293
2017-08-05 14:30:00,278.08594,8.96484,0.13428,-0.03516,0.02051
2017-08-05 14:40:00,288.98438,8.32031,0.13794,0,-0.00879
2017-08-05 14:50:00,288.28125,8.49609,0.15137,0.28125,-0.00586
2017-08-05 15:00:00,288.63281,8.78906,0.1355,-0.10547,-0.00293
2017-08-05 15:10:00,283.00781,8.96484,0.14038,0.22852,0
2017-08-05 15:20:00,286.52344,8.49609,0.11841,0.10547,-0.01172
